postal,name,lat,lng,province
1000,Brussel,50.8427501,4.3515499,Vlaams-Brabant
1020,Laken,50.884218,4.3580002,Vlaams-Brabant
1030,Schaarbeek,50.86744,4.37727,Vlaams-Brabant
1040,Etterbeek,50.83259,4.38899,Vlaams-Brabant
1050,Elsene,50.8270563,4.372308,Vlaams-Brabant
1060,Sint-Gillis,50.8301436,4.3402184,Vlaams-Brabant
1070,Anderlecht,50.8365808,4.308187,Vlaams-Brabant
1080,Sint-Jans-Molenbeek,50.8522009,4.3303277,Vlaams-Brabant
1081,Koekelberg,50.8633811,4.330338,Vlaams-Brabant
1082,Sint-Agatha-Berchem,50.8657821,4.2925975,Vlaams-Brabant
1083,Ganshoren,50.87113,4.30253,Vlaams-Brabant
1090,Jette,50.8808582,4.3227894,Vlaams-Brabant
1120,Neder-Over-Heembeek,50.89622,4.37188,Vlaams-Brabant
1130,Haren,50.8922905,4.4176727,Vlaams-Brabant
1140,Evere,50.8739353,4.4009421,Vlaams-Brabant
1150,Sint-Pieters-Woluwe,50.8299809,4.4335038,Vlaams-Brabant
1160,Oudergem,50.81643,4.42649,Vlaams-Brabant
1170,Watermaal-Bosvoorde,50.7881573,4.4180065,Vlaams-Brabant
1180,Ukkel,50.80241,4.34067,Vlaams-Brabant
1190,Vorst,50.81745,4.32675,Vlaams-Brabant
1200,Sint-Lambrechts-Woluwe,50.8489094,4.4320883,Vlaams-Brabant
1210,Sint-Joost-Ten-Noode,50.8537715,4.3704657,Vlaams-Brabant
1300,Limal,50.6934506,4.5732954,Waals-Brabant
1300,Wavre,50.7158951,4.6128257,Waals-Brabant
1301,Bierges,50.7113795,4.5871684,Waals-Brabant
1310,La Hulpe,50.7309955,4.4856707,Waals-Brabant
1315,Glimes,50.6796,4.83774,Waals-Brabant
1315,Incourt,50.69188,4.7966,Waals-Brabant
1315,Opprebais,50.67946,4.79819,Waals-Brabant
1315,Piètrebais,50.72796,4.76381,Waals-Brabant
1315,Roux-Miroir,50.70811,4.78513,Waals-Brabant
1320,Beauvechain,50.75861,4.768333,Waals-Brabant
1320,Hamme-Mille,50.77953,4.71694,Waals-Brabant
1320,L'ecluse,50.77184,4.83183,Waals-Brabant
1320,Nodebais,50.77319,4.73555,Waals-Brabant
1320,Tourinnes-La-Grosse,50.78281,4.74445,Waals-Brabant
1325,Bonlez,50.70193,4.68948,Waals-Brabant
1325,Chaumont-Gistoux,50.67687,4.71943,Waals-Brabant
1325,Corroy-Le-Grand,50.66206,4.67458,Waals-Brabant
1325,Dion-Valmont,50.6974838,4.6588254,Waals-Brabant
1325,Longueville,50.70231,4.74014,Waals-Brabant
1330,Rixensart,50.7109736,4.5306325,Waals-Brabant
1331,Rosières,50.73015,4.54441,Waals-Brabant
1332,Genval,50.7211,4.49388,Waals-Brabant
1340,Ottignies,50.665465,4.5669046,Waals-Brabant
1340,Ottignies-Louvain-La-Neuve,50.6672105,4.5859684,Waals-Brabant
1341,Céroux-Mousty,50.660369,4.5204882,Waals-Brabant
1342,Limelette,50.6703046,4.5659574,Waals-Brabant
1348,Louvain-La-Neuve,50.668081,4.6118324,Waals-Brabant
1350,Enines,50.69366,4.92655,Waals-Brabant
1350,Folx-Les-Caves,50.66042,4.9376,Waals-Brabant
1350,Jandrain-Jandrenouille,50.67368,4.97969,Waals-Brabant
1350,Jauche,50.68298,4.9547,Waals-Brabant
1350,Marilles,50.70716,4.95274,Waals-Brabant
